ID, Domain, len, len%, valid_acceptance, invalid_acceptance
246, childsnack, 103, 0.04795158286778398, 1.0, 0.13598028955171812
247, childsnack, 102, 0.04748603351955307, 1.0, 0.13598028955171812
248, childsnack, 90, 0.04189944134078212, 1.0, 0.13598028955171812
249, childsnack, 99, 0.046089385474860335, 1.0, 0.13598028955171812
250, childsnack, 117, 0.05446927374301676, 1.0, 0.13598028955171812
251, childsnack, 144, 0.0670391061452514, 1.0, 0.13598028955171812
252, childsnack, 98, 0.04562383612662942, 1.0, 0.13598028955171812
253, childsnack, 93, 0.04329608938547486, 1.0, 0.13598028955171812
254, childsnack, 234, 0.10893854748603352, 1.0, 0.13598028955171812
255, childsnack, 152, 0.07076350093109869, 1.0, 0.13598028955171812
256, childsnack, 174, 0.08100558659217877, 1.0, 0.13598028955171812
257, childsnack, 204, 0.09497206703910614, 1.0, 0.13598028955171812
258, childsnack, 173, 0.08054003724394786, 1.0, 0.13598028955171812
259, childsnack, 206, 0.09590316573556797, 1.0, 0.13598028955171812
260, childsnack, 227, 0.10567970204841713, 1.0, 0.13598028955171812
261, childsnack, 225, 0.10474860335195531, 1.0, 0.13598028955171812
262, childsnack, 216, 0.1005586592178771, 1.0, 0.13598028955171812
263, childsnack, 247, 0.11499068901303539, 1.0, 0.13598028955171812
264, childsnack, 21, 0.009776536312849162, 1.0, 0.13598028955171812
265, childsnack, 15, 0.006983240223463687, 0.15306122448979592, 0.013467643467643467
266, childsnack, 33, 0.015363128491620111, 1.0, 0.13598028955171812
267, childsnack, 24, 0.0111731843575419, 1.0, 0.13598028955171812
268, childsnack, 21, 0.009776536312849162, 1.0, 0.13598028955171812
269, childsnack, 27, 0.012569832402234637, 1.0, 0.13598028955171812
270, childsnack, 27, 0.012569832402234637, 1.0, 0.13598028955171812
271, childsnack, 30, 0.013966480446927373, 1.0, 0.13598028955171812
272, childsnack, 30, 0.013966480446927373, 1.0, 0.13598028955171812
273, childsnack, 15, 0.006983240223463687, 0.15306122448979592, 0.013467643467643467
274, childsnack, 110, 0.051210428305400374, 1.0, 0.13598028955171812
275, childsnack, 144, 0.0670391061452514, 1.0, 0.13598028955171812
276, childsnack, 105, 0.04888268156424581, 1.0, 0.13598028955171812
277, childsnack, 86, 0.04003724394785847, 1.0, 0.13598028955171812
278, childsnack, 115, 0.053538175046554934, 1.0, 0.13598028955171812
279, childsnack, 113, 0.05260707635009311, 1.0, 0.13598028955171812
280, childsnack, 114, 0.05307262569832402, 1.0, 0.13598028955171812
281, childsnack, 98, 0.04562383612662942, 1.0, 0.13598028955171812
282, childsnack, 75, 0.034916201117318434, 1.0, 0.13598028955171812
283, childsnack, 108, 0.05027932960893855, 1.0, 0.13598028955171812
284, childsnack, 269, 0.12523277467411545, 1.0, 0.13598028955171812
285, childsnack, 179, 0.08333333333333333, 1.0, 0.13598028955171812
286, childsnack, 215, 0.10009310986964619, 1.0, 0.13598028955171812
287, childsnack, 213, 0.09916201117318436, 1.0, 0.13598028955171812
288, childsnack, 191, 0.08891992551210429, 1.0, 0.13598028955171812
289, childsnack, 225, 0.10474860335195531, 1.0, 0.13598028955171812
290, childsnack, 201, 0.0935754189944134, 1.0, 0.13598028955171812
291, childsnack, 223, 0.10381750465549348, 1.0, 0.13598028955171812
292, childsnack, 235, 0.10940409683426443, 1.0, 0.13598028955171812
